year,country_name,country_code,nace4,share4,revenue4,nace2,share2,revenue2,manuf_revenue
2012,austria,AT,1011,0.008665981902221091,1.5253991334018097e9,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1012,0.002159394074363601,3.800997840605926e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1013,0.012072382025842283,2.1249987927617974e9,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1020,0.00022838106232416928,4.019997716189376e7,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1031,0.0007783135706072436,1.3699992216864294e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1032,0.004459111836274639,7.848995540888164e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1039,0.002413908293073123,4.248997586091707e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1041,0.002022044766902477,3.5592335293732435e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1042,0.0005319139238270953,9.362828674293105e7,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1051,0.013888636394624296,2.4446986111363606e9,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1052,3.2382389434024006e-5,5.699996761761056e6,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1061,0.0011950170477231926,2.1034869326580796e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1062,0.003831516139869442,6.74429218214029e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1071,0.011502565594222528,2.0246988497434406e9,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1072,0.002034409413390175,3.5809979655905867e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1073,0.0004516491157903348,7.949995483508842e7,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1081,0.005176465222397253,9.111691731441981e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1082,0.001851477318692706,3.2589981485226816e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1083,0.0011231576124748326,1.9769988768423876e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1084,0.002654787821494635,4.672997345212179e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1085,0.0009021620073900022,1.5879990978379926e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1086,0.0,0.0,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1089,0.003071782099469611,5.406996928217901e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1091,0.003625123280324687,6.38099637487672e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1092,0.0020997423043535566,3.695997900257696e8,10,0.086772305217087,1.5273791322769478e10,1.760215e11
2012,austria,AT,1101,0.0009010257831993348,1.5859990989742172e8,11,0.030508187631517955,5.370096949181238e9,1.760215e11
2012,austria,AT,1102,0.0014219845746203878,2.5029985780154258e8,11,0.030508187631517955,5.370096949181238e9,1.760215e11
2012,austria,AT,1103,4.5448967626700366e-5,7.999995455103238e6,11,0.030508187631517955,5.370096949181238e9,1.760215e11
2012,austria,AT,1104,0.0,0.0,11,0.030508187631517955,5.370096949181238e9,1.760215e11
2012,austria,AT,1105,0.006436141928036106,1.1328993563858073e9,11,0.030508187631517955,5.370096949181238e9,1.760215e11
2012,austria,AT,1106,0.000489144514082361,8.609995108554831e7,11,0.030508187631517955,5.370096949181238e9,1.760215e11
2012,austria,AT,1107,0.021214441863953066,3.7341978785558147e9,11,0.030508187631517955,5.370096949181238e9,1.760215e11
2012,austria,AT,1200,0.0,0.0,12,0.0,0.0,1.760215e11
2012,austria,AT,1310,0.0012191685565862377,2.1459987808314443e8,13,0.007856990278465826,1.3829992143009725e9,1.760215e11
2012,austria,AT,1320,0.0019560099442341174,3.442998043990057e8,13,0.007856990278465826,1.3829992143009725e9,1.760215e11
2012,austria,AT,1330,0.0005266399123743906,9.26999473360088e7,13,0.007856990278465826,1.3829992143009725e9,1.760215e11
2012,austria,AT,1391,0.0004448317706463299,7.829995551682296e7,13,0.007856990278465826,1.3829992143009725e9,1.760215e11
2012,austria,AT,1392,0.0012952955773609608,2.2799987047044235e8,13,0.007856990278465826,1.3829992143009725e9,1.760215e11
2012,austria,AT,1393,0.0003442759297722554,6.059996557240705e7,13,0.007856990278465826,1.3829992143009725e9,1.760215e11
2012,austria,AT,1394,2.8405604766687734e-5,4.999997159439525e6,13,0.007856990278465826,1.3829992143009725e9,1.760215e11
2012,austria,AT,1395,0.00038177132806428314,6.719996182286721e7,13,0.007856990278465826,1.3829992143009725e9,1.760215e11
2012,austria,AT,1396,0.001083957877896804,1.9079989160421228e8,13,0.007856990278465826,1.3829992143009725e9,1.760215e11
2012,austria,AT,1399,0.000576633776763761,1.0149994233662234e8,13,0.007856990278465826,1.3829992143009725e9,1.760215e11
2012,austria,AT,1411,6.249961652267973e-6,1.100127624974687e6,14,0.004873265553772946,8.577995126734446e8,1.760215e11
2012,austria,AT,1412,0.0005573829437158982,9.811138182728797e7,14,0.004873265553772946,8.577995126734446e8,1.760215e11
2012,austria,AT,1413,0.0018778293873405133,3.305383455037582e8,14,0.004873265553772946,8.577995126734446e8,1.760215e11
