ctry,year,nace2,nace4,share4,rev4
BG,2018,25,2511,0.011933915869599306,4.1860000000000006e8
BG,2018,25,2512,0.0034838139495103563,1.2220000000000001e8
BG,2018,25,2521,0.0007494723241880341,2.628886597938158e7
BG,2018,25,2529,0.0013516495095183044,4.7411134020618804e7
BG,2018,25,2530,0.000105483728422163,3.7000000000000005e6
BG,2018,25,2540,0.015905235699114794,5.579000000000001e8
BG,2018,25,2550,0.00020241472210739386,7.100000000000001e6
BG,2018,25,2561,0.0017019942126494947,5.97e7
BG,2018,25,2562,0.012464185423289097,4.372e8
BG,2018,25,2571,1.1403646315909513e-5,400000.0
BG,2018,25,2572,0.002260772882129061,7.930000000000001e7
BG,2018,25,2573,0.0014568158168574402,5.11e7
BG,2018,25,2591,2.8509115789773783e-5,1.0000000000000001e6
BG,2018,25,2592,0.002617136829501233,9.18e7
BG,2018,25,2593,0.0013085684147506164,4.59e7
BG,2018,25,2594,0.0003848730631619461,1.3500000000000002e7
BG,2018,25,2599,0.00933103359799296,3.2730000000000006e8
BG,2018,26,2611,0.0051137680005364766,1.7937308327081773e8
BG,2018,26,2612,0.001613373850782411,5.659150787696924e7
BG,2018,26,2620,0.001077482889745144,3.779432858214554e7
BG,2018,26,2630,0.0021948725531845525,7.698844711177796e7
BG,2018,26,2640,0.0006898170881437164,2.4196369092273068e7
BG,2018,26,2651,0.0032980097974474377,1.1568264066016504e8
BG,2018,26,2652,8.55145150591384e-6,299954.9887471868
BG,2018,26,2660,0.0026195946446449393,9.188621155288821e7
BG,2018,26,2670,0.002277536584408386,7.988801200300075e7
BG,2018,26,2680,0.00010546790190627071,3.6994448612153046e6
BG,2018,27,2711,0.004393254743204139,1.5409999999999997e8
BG,2018,27,2712,0.015922341168588657,5.585e8
BG,2018,27,2720,0.0071187262127065136,2.4970000000000003e8
BG,2018,27,2732,0.004082505381095605,1.4319999999999997e8
BG,2018,27,2733,0.00228358017476088,8.010000000000001e7
BG,2018,27,2740,0.0013883939389619832,4.87e7
BG,2018,27,2751,0.008846378629566805,3.1030000000000006e8
BG,2018,27,2752,0.0012401465368551594,4.35e7
BG,2018,27,2790,0.011052984191695295,3.877e8
BG,2018,28,2811,0.0005951651250008325,2.08763095070917e7
BG,2018,28,2812,0.007979701509557681,2.799e8
BG,2018,28,2813,0.0048043096854582645,1.6851836868197682e8
BG,2018,28,2814,0.007420922840078115,2.603e8
BG,2018,28,2815,0.0028993770758199934,1.017e8
BG,2018,28,2821,0.00047838502018051113,1.67800721603617e7
BG,2018,28,2822,0.003862985189514347,1.355e8
BG,2018,28,2823,0.004963437058999615,1.741e8
BG,2018,28,2824,1.2123491527657657e-5,425249.6505698838
BG,2018,28,2825,0.0029735007768734055,1.043e8
BG,2018,28,2829,0.004111014496885379,1.442e8
BG,2018,28,2830,0.0009949681410631051,3.490000000000001e7
BG,2018,28,2841,0.0022294128547603095,7.82e7
BG,2018,28,2849,0.0010063717873790145,3.53e7
BG,2018,28,2891,0.0003649166821091044,1.28e7
BG,2018,28,2892,0.0030932390631904553,1.085e8
BG,2018,28,2893,0.0036577195558279768,1.2830000000000003e8
BG,2018,28,2894,3.706185052670591e-5,1.3e6
BG,2018,28,2895,9.12291705272761e-5,3.2e6
BG,2018,28,2896,0.0002651347768448962,9.3e6
BG,2018,28,2899,0.002494547631605206,8.75e7
BG,2018,29,2910,3.906953473725309e-5,1.3704225352112579e6
BG,2018,29,2920,0.0004712436378996973,1.6529577464788733e7
BG,2018,29,2931,0.02306102376234801,8.089e8
BG,2018,29,2932,0.009886961355893547,3.468e8
BG,2018,30,3011,0.0015195358715949423,5.329999999999999e7
BG,2018,30,3012,1.4552505747814032e-5,510450.9678631989
BG,2018,30,3020,0.0030590281242427264,1.073e8
BG,2018,30,3030,6.20224424467934e-5,2.175530202484949e6
BG,2018,30,3091,2.6038653161441135e-6,91334.481761729
BG,2018,30,3092,0.007472239248499707,2.6209999999999997e8
BG,2018,30,3099,1.490126859550179e-5,522684.34789011854
BG,2018,31,3101,0.0021698548018959634,7.611091195870376e7
BG,2018,31,3102,0.001827696357444563,6.410919128190421e7
BG,2018,31,3103,0.0014769839518818779,5.180742758818469e7
BG,2018,31,3109,0.014410573152144808,5.0547246917120737e8
BG,2018,32,3212,0.0004247858252676293,1.49e7
BG,2018,32,3213,2.5658204210796406e-5,900000.0000000001
BG,2018,32,3220,9.615347234550976e-5,3.3727272727272734e6
BG,2018,32,3230,0.003401137513720012,1.193e8
BG,2018,32,3240,0.0065171838695422864,2.286e8
BG,2018,32,3250,0.0020192229192557047,7.082727272727273e7
BG,2018,32,3291,0.00013684375579091416,4.800000000000001e6
BG,2018,32,3299,0.0017333542400182458,6.08e7
BG,2018,33,3311,0.00033355665474035323,1.17e7
BG,2018,33,3312,0.006383191025330349,2.2389999999999997e8
BG,2018,33,3313,0.0010776445768534487,3.779999999999999e7
BG,2018,33,3314,0.0007640443031659373,2.68e7
BG,2018,33,3315,0.00386013427793537,1.354e8
BG,2018,33,3316,0.0030419226547688622,1.067e8
BG,2018,33,3317,0.00016535287158068792,5.8e6
BG,2018,33,3319,0.00013114193263295937,4.599999999999999e6
BG,2018,33,3320,0.0027967442589768078,9.81e7
CZ,2018,10,1011,0.005703956236633,1.082e9
CZ,2018,10,1012,0.0024023039344118835,4.557e8
CZ,2018,10,1013,0.006029745973623684,1.1438e9
CZ,2018,10,1020,0.00048552159833077565,9.209999999999999e7
CZ,2018,10,1031,0.0005874199690251949,1.114293974422994e8
CZ,2018,10,1032,0.00022260899367726155,4.222734557672141e7
CZ,2018,10,1039,0.0011774023668351273,2.233448694318191e8
CZ,2018,10,1041,0.0033410240988207157,6.337685502751881e8
CZ,2018,10,1042,1.2116282368666245e-6,229837.2739731169
CZ,2018,10,1051,0.008831643145315402,1.6753e9
CZ,2018,10,1052,0.0005445643985620969,1.033e8
CZ,2018,10,1061,0.0021845836085588864,4.144e8
CZ,2018,10,1062,0.0005419285592660558,1.028e8
CZ,2018,10,1071,0.00642301319659302,1.2184e9
CZ,2018,10,1072,0.0017401811032463524,3.301e8
CZ,2018,10,1073,0.00028572497969085823,5.42e7
CZ,2018,10,1081,0.0017591591461778484,3.337e8
CZ,2018,10,1082,0.003394433845441764,6.439e8
CZ,2018,10,1083,0.001070677922051906,2.0310000000000003e8
CZ,2018,10,1084,0.0006631771668839477,1.258e8
CZ,2018,10,1085,0.0008070939924477933,1.531e8
CZ,2018,10,1086,0.0003115562047920613,5.91e7
CZ,2018,10,1089,0.004224196055835511,8.013e8
CZ,2018,10,1091,0.007605977872656278,1.4428e9
CZ,2018,10,1092,0.0018313811428893754,3.474e8
