ctry,year,nace2,share2,rev2
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,10,0.14778270351945033,5.1837e9
BG,2018,11,0.03027953188031873,1.0620999999999999e9
BG,2018,11,0.03027953188031873,1.0620999999999999e9
BG,2018,11,0.03027953188031873,1.0620999999999999e9
BG,2018,11,0.03027953188031873,1.0620999999999999e9
BG,2018,11,0.03027953188031873,1.0620999999999999e9
BG,2018,11,0.03027953188031873,1.0620999999999999e9
BG,2018,11,0.03027953188031873,1.0620999999999999e9
BG,2018,12,0.01202514504012658,4.218e8
BG,2018,13,0.01566861003805967,5.496e8
BG,2018,13,0.01566861003805967,5.496e8
BG,2018,13,0.01566861003805967,5.496e8
BG,2018,13,0.01566861003805967,5.496e8
BG,2018,13,0.01566861003805967,5.496e8
BG,2018,13,0.01566861003805967,5.496e8
BG,2018,13,0.01566861003805967,5.496e8
BG,2018,13,0.01566861003805967,5.496e8
BG,2018,13,0.01566861003805967,5.496e8
BG,2018,13,0.01566861003805967,5.496e8
BG,2018,14,0.041141504996222544,1.4431e9
BG,2018,14,0.041141504996222544,1.4431e9
BG,2018,14,0.041141504996222544,1.4431e9
BG,2018,14,0.041141504996222544,1.4431e9
BG,2018,14,0.041141504996222544,1.4431e9
BG,2018,14,0.041141504996222544,1.4431e9
BG,2018,14,0.041141504996222544,1.4431e9
BG,2018,14,0.041141504996222544,1.4431e9
BG,2018,15,0.004612774934785398,1.618e8
BG,2018,15,0.004612774934785398,1.618e8
BG,2018,15,0.004612774934785398,1.618e8
BG,2018,16,0.015990763046484113,5.609e8
BG,2018,16,0.015990763046484113,5.609e8
BG,2018,16,0.015990763046484113,5.609e8
BG,2018,16,0.015990763046484113,5.609e8
BG,2018,16,0.015990763046484113,5.609e8
BG,2018,16,0.015990763046484113,5.609e8
BG,2018,17,0.020207261271791656,7.088e8
BG,2018,17,0.020207261271791656,7.088e8
BG,2018,17,0.020207261271791656,7.088e8
BG,2018,17,0.020207261271791656,7.088e8
BG,2018,17,0.020207261271791656,7.088e8
BG,2018,17,0.020207261271791656,7.088e8
BG,2018,17,0.020207261271791656,7.088e8
BG,2018,18,0.010924693170641313,3.832e8
BG,2018,18,0.010924693170641313,3.832e8
BG,2018,18,0.010924693170641313,3.832e8
BG,2018,18,0.010924693170641313,3.832e8
BG,2018,18,0.010924693170641313,3.832e8
BG,2018,19,0.10329098490103843,3.623086231881274e9
BG,2018,20,0.04414921671204368,1.5486e9
BG,2018,20,0.04414921671204368,1.5486e9
BG,2018,20,0.04414921671204368,1.5486e9
BG,2018,20,0.04414921671204368,1.5486e9
BG,2018,20,0.04414921671204368,1.5486e9
BG,2018,20,0.04414921671204368,1.5486e9
BG,2018,20,0.04414921671204368,1.5486e9
